key,en
event.debris_cascade.2.body,"The clean-up crews did their job and found something unexpected in the wreckage: the old survey satellites were built with the best materials Sol could spare, and the fragments are rich in rare metals. Captain Brandt suggests keeping the tugs busy for another month to sort and smelt the salvage. The Archive would rather have the satellites' memory cores, scorched but perhaps readable, for their century-old survey data. There is time and fuel for one of the two."
event.debris_cascade.2.c0,Smelt the salvage
event.debris_cascade.2.c1,Recover the memory cores
scenario.s1.briefing,"Month 1, Year 100 of the Silence. A century after the Ark came down at Ember, its children still live in the shadow of the ship. Aster is green, crowded and hopeful; its sister worlds are empty. The slowboats need refitting before anyone can go farther, so for now the Compact's whole future lies in this one system. Build Aster up, settle Brume and Cinder, raise an outpost over Dross or on the Tithe Belt, and keep your people steady while you do it. And in the Archive, where Archivist Sola keeps the Ark's memory, something sealed is waiting to be read."
scenario.s1.debrief,"Ember is no longer a landing site. It is a home: living colonies, an outpost humming in the dark, and a people who have learned to govern themselves. The first fragment of the Sealed Order sits on Archivist Sola's desk, three words and a century of questions. The slowboats are nearly refitted. Beyond Ember lie Halden's Gate, a dark beacon, and whatever Sol wanted its colonies not to hear. Choose one legacy to carry forward."
objective.s1.develop_3,"Develop 3 colonies in Ember, each with 5k settlers and 6 districts"
objective.s1.outpost_1,Build an outpost over Dross or on the Tithe Belt
objective.s1.stable_10,"Keep every colony at stability 40 or more for 10 turns in a row, once you have 2 colonies"
objective.s1.sealed_order_1,Decode the first fragment of the Sealed Order
objective.s1.pops_40,Reach 40k settlers
objective.s1.techs_8,Research 8 techs
objective.s1.never_starve,Never let the food run out
tutorial.s1.report,"Every turn begins with this report: the three things that matter most, then everything else by topic. Read it, then close it. Nothing in the Compact happens without a reason, and the report is where the reasons are kept."
tutorial.s1.food,"Every number can explain itself. Hover over Food in the top bar, or tap it, to see where each kilotonne comes from and where it goes."
tutorial.s1.farm,"Aster's settlers will soon outgrow its farms. Open Aster's planner and place a Farm district. Before you commit, the planner shows what it would change, including the bonus for farms beside farms."
tutorial.s1.research,Research comes in cards. Each branch offers up to three; pick one in each and the Compact studies all three at once. Research you have not spent waits for the next card.
tutorial.s1.industry,"A colony ship needs metals, and only an Industry district makes them. Its metallurgists turn minerals into metals, so plan for the minerals too."
tutorial.s1.stability,"The strike is answered. Open Aster's stability to see every source: clerks and landmarks raise it, and settlers without work or homes lower it."
tutorial.s1.survey,"Brume, the ocean world, could hold a colony. First the Survey Probe must study it: select the probe, then Brume, and order a survey. It takes two turns."
tutorial.s1.colony_ship,"The Spaceport on Aster can build a Colony Ship. It costs food, minerals and metals, and carries two thousand settlers with their first shelter."
tutorial.s1.found,Send the Colony Ship to Brume to found the Compact's second colony. It starts with a Habitation district and two thousand settlers who will need work.
tutorial.s1.governor,"Two colonies are a lot to plan by hand. A governor builds within a budget you set, always shows its next plan and the reason for it, and obeys your veto. Turn one on."
tutorial.s1.ordinance,"Ordinances are laws with a price: influence to pass, and energy every turn. A Festival steadies every colony for ten turns. Try one."
tutorial.s1.storage,"Stores have limits. When a stock is full, the extra is lost, and the report warns you two turns ahead. A Storehouse raises every limit."
tutorial.s1.outpost,"Dross and the Tithe Belt cannot hold settlers, but they can hold machines. Survey one, then send the Construction Ship to build an outpost there."
tutorial.s1.sealed_order,"Something in the Archive has waited a hundred years for us. Read the Sealed Order, then follow the decoding in your objectives. I have footnotes ready."
why.cond.stock_low,{resource} has run out
why.cond.autonomous,{colony} declared autonomy
report.rejoined,{colony} has rejoined the Compact.
breakdown.trade,Trade in {resource}
source.trade_rate_buy,Buy {amount} at {rate} energy each
source.trade_rate_sell,Sell {amount} at {rate} energy each
error.market.closed,The market opens with a Market Exchange.
error.market.not_traded,That cannot be traded.
error.market.bad_amount,Trade between 1 and {max} lots of 10.
source.governor_savings,Set aside by the governor of {colony} ({pct}%)
breakdown.rush_cost,Cost of rushing one turn
source.rush_per_turn,"Its price spread over {turns} turns of work, at market rates"
error.build.rush_not_first,Only the build in progress can be rushed.
error.build.rush_last_turn,It already finishes this turn.
error.build.rush_once,It can be rushed once a turn.
